                                                                                                    1                                                                                                   2                                                                                                   3                                                                                                   4                                                            
          1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6
01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
03375-3Eloá Machado                                      Feminino  29/1/2014 00:00:00 R$ 3298,20           Weyland-Yutani                                    Centro-Oeste                                                                                        Centro-oeste                                      GOSul Goiano                                        Meia Ponte                                        Panamá                                            64 
07513-7Maria Cecília Rocha                               Feminino  23/3/2014 00:00:00 R$ 8563,42           LexCorp                                           Nordeste                                                                                            Norte e Nordeste                                  MAOeste Maranhense                                  Pindaré                                           Zé Doca                                           98 



Campo		Posição
--------------	-------	
Código		0
Nome		7
Gênero		57
Data		67
Valor		86
Cliente		107
Região		157
Regional	257
UF		307
Mesorregião	309
Microrregião	359
Município	409
DDD		459


0, 7, 57, 67, 86, 107, 157, 257, 307, 309, 359, 409, 459
